GOOD_NAME,ADG_CODE,ADG_CODE_CLEANED,GOOD_NAME_CLEANED,weight_g,weight_kg,volume_ml,volume_l,count,size,BRAND,BRAND_CONFIDENCE,CATEGORY,GOOD_NAME_NORMALIZED,price_amd,quantity_kg,IS_MISSING_BRAND,HAS_MEASUREMENT,NAME_LENGTH,WORD_COUNT,PRODUCT_ID
MARIANNA  Yogurt  pityevoy 270g,403.0,403,MARIANNA Yogurt pityevoy 270g,270.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Clothing,Yogurt pityevoy,0.0,0.0,0,1,29,4,1414
Թթվասեր Մարիաննա 15% 180գր ,403.0,403,Թթվասեր Մարիաննա 15 180գր,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Թթվասեր 15,0.0,0.0,0,1,25,4,715
ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ,403.0,403,ԹԹՎԱՍԵՐ ՄԱՐԻԱՆՆԱ ԼՈՏԿԱ 200Գ,200.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,ԹԹՎԱՍԵՐ ԼՈՏԿԱ,0.0,0.0,0,1,27,4,91
Մածուն Մարիաննա Հայկական 3.2% 1.8կգ,403.0,403,Մածուն Մարիաննա Հայկական 3 2 1 8կգ,8000.0,8.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Մածուն Հայկական 3 2 1,0.0,8.0,0,1,34,7,1886
"Յոգուրտ ըմպելի Մարիաննա Bifido 1%, ծիրան-մանգո 27",403.0,403,Յոգուրտ ըմպելի Մարիաննա Bifido 1 ծիրան-մանգո 27,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Յոգուրտ ըմպելի Bifido 1 ծիրան-մանգո 27,0.0,0.0,0,0,47,7,565
Սերուցք 10% «Մարիաննա» 1լ,403.0,403,Սերուցք 10 Մարիաննա 1լ,0.0,0.0,1000.0,1.0,0.0,0,Marianna,1.0,Other,Սերուցք 10,0.0,0.0,0,1,22,4,313
Հալած պանիր Մարիաննա ,403.0,403,Հալած պանիր Մարիաննա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Հալած պանիր,0.0,0.0,0,0,20,3,1919
Թթվասեր Մարիաննա 250գր․ ,403.0,403,Թթվասեր Մարիաննա 250գր,250.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Թթվասեր,0.0,0.0,0,1,22,3,1887
«Մարիաննա» կաթ 200մլ,403.0,403,Մարիաննա կաթ 200մլ,0.0,0.0,200.0,0.0,0.0,0,Marianna,1.0,Food Products,կաթ,0.0,0.0,0,1,18,3,1478
Մարիաննա՝Ոսկևան՝ Քամած մա,403.0,403,Մարիաննա՝Ոսկևան՝ Քամած մա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,՝Ոսկևան՝ Քամած մա,0.0,0.0,0,0,25,3,642
ՅՈԳՈՒՐՏ ՄԱՐԻԱՆՆԱ ԲԱԴԻԿ 115Գ 7% ԱԶՆՎԱՄՈՐԻ,403.0,403,ՅՈԳՈՒՐՏ ՄԱՐԻԱՆՆԱ ԲԱԴԻԿ 115Գ 7 ԱԶՆՎԱՄՈՐԻ,115.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,ՅՈԳՈՒՐՏ ԲԱԴԻԿ 7 ԱԶՆՎԱՄՈՐԻ,0.0,0.0,0,1,39,6,1001
Պանիր «Մարյաննա» ապխտած չեչիլ,403.0,403,Պանիր Մարյաննա ապխտած չեչիլ,0.0,0.0,0.0,0.0,0.0,0,Unknown,0.0,Food Products,Պանիր Մարյաննա ապխտած չեչիլ,0.0,0.0,1,0,27,4,1435
kat marianna,403.0,403,kat marianna,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Clothing,kat,0.0,0.0,0,0,12,2,1624
Բիոյոգուրտ Բիֆիդո Մարիաննա 0.27 գ,403.0,403,Բիոյոգուրտ Բիֆիդո Մարիաննա 0 27 գ,27.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Բիոյոգուրտ Բիֆիդո 0,0.0,0.0,0,1,33,6,1112
"Յոգուրտ ըմպելի Մարիաննա դեղձ մարակույա 1,5% 270գ",403.0,403,Յոգուրտ ըմպելի Մարիաննա դեղձ մարակույա 1 5 270գ,270.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Յոգուրտ ըմպելի դեղձ մարակույա 1 5,0.0,0.0,0,1,47,8,2041
Շոկոլապկի կգ ռոշեն,404.0,404,Շոկոլապկի կգ ռոշեն,0.0,0.0,0.0,0.0,0.0,0,Roshen,0.8,Other,Շոկոլապկի կգ,0.0,0.0,0,0,18,3,1988
Կարաq 100q մարիաննա                ,405.0,405,Կարաq 100q մարիաննա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Կարաq 100q,0.0,0.0,0,0,19,3,1050
էլնոր կանաչ 1կգ,405.0,405,էլնոր կանաչ 1կգ,1000.0,1.0,0.0,0.0,0.0,0,Unknown,0.0,Other,էլնոր կանաչ,0.0,1.0,1,1,15,3,1586
"Մարիաննա Բոնմարի Շոկմարի  Միքս 0,5կգ",405.0,405,Մարիաննա Բոնմարի Շոկմարի Միքս 0 5կգ,5000.0,5.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Բոնմարի Շոկմարի Միքս 0,0.0,5.0,0,1,35,6,1206
Կարագ ՛՛Մարիաննա՛՛ 500գր.  Գյուղական,405.0,405,Կարագ Մարիաննա 500գր Գյուղական,500.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Կարագ Գյուղական,0.0,0.0,0,1,30,4,1207
Պանիր հալած «Մարիաննա» դասական 100գ,406.0,406,Պանիր հալած Մարիաննա դասական 100գ,100.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր հալած դասական,0.0,0.0,0,1,33,5,466
ՄԱՐԻԱՆՆԱ Ջնարակված պանրիկ 40գ,406.0,406,ՄԱՐԻԱՆՆԱ Ջնարակված պանրիկ 40գ,40.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Ջնարակված պանրիկ,0.0,0.0,0,1,29,4,850
ՉԵՉԻԼ ՄԱՐԻԱՆՆԱ  300ԳՐ,406.0,406,ՉԵՉԻԼ ՄԱՐԻԱՆՆԱ 300ԳՐ,300.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,ՉԵՉԻԼ,0.0,0.0,0,1,20,3,796
Պանիր Մարիաննա Լոռի Վկ կգ,406.0,406,Պանիր Մարիաննա Լոռի Վկ կգ,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր Լոռի Վկ կգ,0.0,0.0,0,0,25,5,259
Կաթնաշոռ «Մարիաննա» 0.5% 180գ///,406.0,406,Կաթնաշոռ Մարիաննա 0 5 180գ///,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Կաթնաշոռ 0 5 ///,0.0,0.0,0,1,29,5,545
Բիոկաթնաշոռ Մարիաննա 9% 90գր,406.0,406,Բիոկաթնաշոռ Մարիաննա 9 90գր,90.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Բիոկաթնաշոռ 9,0.0,0.0,0,1,27,4,95
Պանիր Չանախ «Մարիաննա» աղաջրային հատ,406.0,406,Պանիր Չանախ Մարիաննա աղաջրային հատ,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր Չանախ աղաջրային հատ,0.0,0.0,0,0,34,5,1118
Մարիաննա Հալած Պանիր 80գր.,406.0,406,Մարիաննա Հալած Պանիր 80գր,80.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Հալած Պանիր,0.0,0.0,0,1,25,4,1699
Լոռի  Մարիաննա,406.0,406,Լոռի Մարիաննա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Լոռի,0.0,0.0,0,0,13,2,991
մարիաննա հալած պանիր դասական,406.0,406,մարիաննա հալած պանիր դասական,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,հալած պանիր դասական,0.0,0.0,0,0,28,4,873
Մարիաննա կաթնաշոռ180գր հատ,406.0,406,Մարիաննա կաթնաշոռ180գր հատ,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,կաթնաշոռ հատ,0.0,0.0,0,1,26,3,2006
Կաթնաշոռային պանիր Մարիաննա Սերուցքային 60% 180գր,406.0,406,Կաթնաշոռային պանիր Մարիաննա Սերուցքային 60 180գր,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Կաթնաշոռային պանիր Սերուցքային 60,0.0,0.0,0,1,48,6,739
Պանիր հալեցված Մարիաննա դասական 60 % 100գ,406.0,406,Պանիր հալեցված Մարիաննա դասական 60 100գ,100.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր հալեցված դասական 60,0.0,0.0,0,1,39,6,1841
Մարիաննա Պանիր Թել Գունավոր 150գր,406.0,406,Մարիաննա Պանիր Թել Գունավոր 150գր,150.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր Թել Գունավոր,0.0,0.0,0,1,33,5,40
Մարիաննա կրեմ հարելու համար 1լ,406.0,406,Մարիաննա կրեմ հարելու համար 1լ,0.0,0.0,1000.0,1.0,0.0,0,Marianna,1.0,Cosmetics,կրեմ հարելու համար,0.0,0.0,0,1,30,5,1232
Պանիր սերուցքային մարիաննա 180գ,406.0,406,Պանիր սերուցքային մարիաննա 180գ,180.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր սերուցքային,0.0,0.0,0,1,31,4,1477
Պանրիկ Մարիաննա չամիչով կաթնաշոռային 90գ,406.0,406,Պանրիկ Մարիաննա չամիչով կաթնաշոռային 90գ,90.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանրիկ չամիչով կաթնաշոռային,0.0,0.0,0,1,40,5,650
Սերուցք <<Մարիաննա>> ուլտրապաստերիզ,406.0,406,Սերուցք Մարիաննա ուլտրապաստերիզ,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Other,Սերուցք ուլտրապաստերիզ,0.0,0.0,0,0,31,3,1359
Պանիր Լոռի Մարիաննա հատով,406.0,406,Պանիր Լոռի Մարիաննա հատով,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Պանիր Լոռի հատով,0.0,0.0,0,0,25,4,1486
Գունավոր պանիր Մարիաննա,406.0,406,Գունավոր պանիր Մարիաննա,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Գունավոր պանիր,0.0,0.0,0,0,23,3,1577
